time,v1,v2,v3,v4,temperature,soc,fault,bms_status,contactor
0,3.934,3.970,4.058,3.891,22.66,99.60,,OK,CLOSED
1,3.980,3.909,3.906,4.001,25.48,99.20,,OK,CLOSED
2,3.995,4.020,3.856,3.989,22.71,98.80,,OK,CLOSED
3,3.940,3.913,3.872,4.009,24.16,98.40,,OK,CLOSED
4,3.986,3.921,4.040,4.031,25.51,98.00,,OK,CLOSED
5,3.905,3.991,3.881,3.982,24.42,97.60,,OK,CLOSED
6,4.021,3.974,3.949,4.020,27.08,97.20,,OK,CLOSED
7,3.892,3.932,3.819,4.015,25.12,96.80,,OK,CLOSED
8,3.978,3.942,3.921,3.833,25.47,96.40,,OK,CLOSED
9,3.868,3.912,3.958,4.028,23.40,96.00,,OK,CLOSED
10,3.879,4.350,3.996,3.924,22.50,95.60,overvoltage,FAULT_OVERVOLTAGE,OPEN
11,3.961,4.350,3.929,3.909,25.34,95.20,overvoltage,FAULT_OVERVOLTAGE,OPEN
12,4.030,4.350,3.924,3.888,26.62,94.80,overvoltage,FAULT_OVERVOLTAGE,OPEN
13,3.956,4.350,3.888,3.893,27.01,94.40,overvoltage,FAULT_OVERVOLTAGE,OPEN
14,3.958,4.350,3.912,3.865,26.09,94.00,overvoltage,FAULT_OVERVOLTAGE,OPEN
15,3.890,4.350,3.877,3.985,18.94,93.60,overvoltage,FAULT_OVERVOLTAGE,OPEN
16,3.927,4.350,3.978,3.889,23.92,93.20,overvoltage,FAULT_OVERVOLTAGE,OPEN
17,3.855,4.350,3.879,3.945,24.77,92.80,overvoltage,FAULT_OVERVOLTAGE,OPEN
18,4.008,4.350,3.936,3.894,22.70,92.40,overvoltage,FAULT_OVERVOLTAGE,OPEN
19,3.883,4.350,3.988,3.896,23.75,92.00,overvoltage,FAULT_OVERVOLTAGE,OPEN
20,3.803,3.926,3.937,3.844,24.92,91.60,,OK,CLOSED
21,3.966,3.857,3.983,3.917,23.87,91.20,,OK,CLOSED
22,3.978,3.858,3.930,3.898,25.68,90.80,,OK,CLOSED
23,3.879,4.006,3.870,3.884,25.47,90.40,,OK,CLOSED
